post_weekday,post_hour,like_count_1h_q1_in_weekday_hour,like_count_1h_q2_in_weekday_hour,like_count_1h_q3_in_weekday_hour,like_count_1h_mean_in_weekday_hour,like_count_1h_std_in_weekday_hour,like_count_2h_q1_in_weekday_hour,like_count_2h_q2_in_weekday_hour,like_count_2h_q3_in_weekday_hour,like_count_2h_mean_in_weekday_hour,like_count_2h_std_in_weekday_hour,like_count_3h_q1_in_weekday_hour,like_count_3h_q2_in_weekday_hour,like_count_3h_q3_in_weekday_hour,like_count_3h_mean_in_weekday_hour,like_count_3h_std_in_weekday_hour,like_count_4h_q1_in_weekday_hour,like_count_4h_q2_in_weekday_hour,like_count_4h_q3_in_weekday_hour,like_count_4h_mean_in_weekday_hour,like_count_4h_std_in_weekday_hour,like_count_5h_q1_in_weekday_hour,like_count_5h_q2_in_weekday_hour,like_count_5h_q3_in_weekday_hour,like_count_5h_mean_in_weekday_hour,like_count_5h_std_in_weekday_hour,like_count_6h_q1_in_weekday_hour,like_count_6h_q2_in_weekday_hour,like_count_6h_q3_in_weekday_hour,like_count_6h_mean_in_weekday_hour,like_count_6h_std_in_weekday_hour
Saturday,19,0.0,1.0,2.0,1.68,2.0355179521029365,1.0,1.0,4.0,2.32,2.7796882319185845,1.0,2.0,5.0,3.72,4.504812241740307,1.0,3.0,8.0,6.36,8.410707461325712,1.0,4.0,10.0,9.04,13.712767773137562,3.0,7.0,17.0,15.88,29.33047334542466
Tuesday,22,0.0,1.0,2.0,1.2727272727272727,1.1908743922772957,2.0,4.0,4.5,3.3636363636363638,1.689540012709215,4.0,6.0,8.0,6.363636363636363,4.006812380751743,6.0,10.0,13.0,11.909090909090908,8.9605194654612,9.5,16.0,21.5,19.09090909090909,14.515195799261857,13.0,25.0,27.0,27.181818181818183,22.053653583105824
Tuesday,21,0.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,1.8,1.7888543819998317,1.0,2.0,6.0,3.6,3.7815340802378077,4.0,4.0,16.0,10.4,9.762171889492624,10.0,12.0,27.0,19.0,14.781745499094482,14.0,17.0,44.0,29.0,22.4610774452162
Friday,20,0.0,1.0,2.0,0.8666666666666667,0.9154754164341269,0.0,1.0,2.0,1.2666666666666666,1.162919151265879,1.0,2.0,2.0,1.7333333333333334,1.4375905768565218,1.0,2.0,4.5,3.2666666666666666,2.8652266593628872,2.5,4.0,7.0,5.866666666666666,6.104643041707408,4.5,10.0,11.5,11.466666666666667,11.60582776432763
Thursday,20,0.0,1.0,1.75,1.2,1.3984117975602022,0.25,1.0,3.5,2.1,2.4244128727957577,2.0,2.5,6.75,4.0,3.197221015541813,4.25,5.0,8.75,6.5,4.403281604540969,6.0,9.0,12.5,10.3,6.864562784491247,8.75,15.0,17.5,16.4,12.877197762798481
Wednesday,20,0.0,1.0,1.5,1.631578947368421,3.3201493660474823,1.0,1.0,3.5,3.0526315789473686,5.379732378830407,1.0,3.0,8.0,6.7368421052631575,11.22913920349472,3.0,7.0,16.0,14.631578947368421,21.764421850339424,5.5,9.0,24.5,24.210526315789473,34.01564827377806,10.5,15.0,39.5,37.63157894736842,53.49372811244717
Friday,22,0.0,1.0,1.0,1.2222222222222223,1.5634719199411433,1.0,1.0,3.0,1.7777777777777777,1.5634719199411433,3.0,4.0,4.0,3.5555555555555554,1.810463415200036,4.0,7.0,9.0,6.666666666666667,3.0413812651491097,8.0,12.0,12.0,10.88888888888889,4.8074017006186525,12.0,19.0,21.0,16.666666666666668,7.088723439378913
Tuesday,19,0.0,1.0,1.0,1.0588235294117647,1.2485285456935957,0.0,1.0,2.0,1.2352941176470589,1.480262297901367,0.0,1.0,2.0,1.5294117647058822,1.6999134926086508,1.0,4.0,5.0,3.7058823529411766,2.5924097352259183,4.0,5.0,9.0,6.117647058823529,3.4438777733315473,6.0,9.0,12.0,9.941176470588236,5.760540211595764
Saturday,20,0.0,1.0,1.0,0.8823529411764706,1.21872643265298,1.0,1.0,2.0,1.3529411764705883,1.4552137502179978,1.0,2.0,3.0,2.176470588235294,1.9440709258424402,3.0,3.0,5.0,4.235294117647059,2.56245516460059,5.0,6.0,9.0,7.294117647058823,4.71387189423876,8.0,10.0,14.0,11.470588235294118,6.718608924647493
Wednesday,21,0.0,1.0,1.0,0.7777777777777778,0.9718253158075502,0.0,2.0,3.0,2.888888888888889,3.8224483137265715,1.0,4.0,14.0,8.222222222222221,7.902179727419799,5.0,9.0,28.0,17.22222222222222,14.70355210295949,8.0,20.0,46.0,30.555555555555557,29.585093844329407,13.0,37.0,55.0,48.666666666666664,55.01136246267674
Sunday,21,0.0,1.0,1.0,0.7,0.6749485577105528,0.25,1.0,1.75,1.0,0.816496580927726,1.0,2.0,2.0,1.9,0.9944289260117534,2.25,4.0,5.0,3.9,2.378141197564929,5.0,6.5,9.75,7.6,4.115013163202923,6.75,11.5,17.5,12.0,6.306962642808167
Friday,21,0.0,1.0,1.0,0.6666666666666666,0.7071067811865475,1.0,1.0,2.0,1.5555555555555556,1.3333333333333335,2.0,3.0,3.0,3.7777777777777777,4.576510072581993,2.0,6.0,9.0,8.555555555555555,11.8227652339788,5.0,6.0,17.0,14.444444444444445,18.269586141392963,8.0,10.0,25.0,22.77777777777778,29.3248093675721
Sunday,22,0.0,0.5,2.0,1.3333333333333333,2.2696949467968492,1.0,2.0,4.25,3.4166666666666665,3.987670391533778,1.0,4.5,7.5,5.75,6.283094200095421,3.75,7.0,14.5,10.5,9.239244361073927,6.75,10.5,26.75,16.583333333333332,13.859413166989913,8.75,15.0,31.25,20.916666666666668,16.155259955891275
Thursday,21,0.0,0.0,2.0,1.1428571428571428,1.5735915849388864,1.0,2.0,6.0,6.714285714285714,10.995670143504757,1.5,3.0,11.0,12.0,19.544820285692065,2.5,8.0,30.0,23.285714285714285,31.63181039035592,5.0,12.0,55.0,36.42857142857143,44.10539325621884,13.0,16.0,89.0,53.57142857142857,57.445211993275656
Saturday,21,0.0,0.0,1.0,1.2222222222222223,2.0162736612682775,1.0,1.0,2.0,2.5555555555555554,3.899053010550763,1.0,2.0,3.75,4.5,6.49207661873529,3.25,5.5,9.25,8.5,9.52550755170805,6.0,8.0,18.5,14.833333333333334,15.916140531289761,8.25,14.5,30.0,22.72222222222222,22.183209218727352
Monday,21,0.0,0.0,0.0,0.5,1.224744871391589,0.25,1.5,2.75,1.5,1.378404875209022,1.0,1.5,2.75,1.8333333333333333,1.4719601443879746,3.25,4.0,4.75,3.8333333333333335,1.7224014243685084,4.75,9.0,11.75,8.333333333333334,4.760952285695233,8.5,13.5,17.75,13.166666666666666,5.419102016632153
